PROVISIONAL ,,,,,,,,,,,,,,,,
AREFNO,Borough,Boro,Latitude,Longitude,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,CasualtyCount,Casualty Severity,Ped Location,Ped Movement,Mode of Travel
1200237032,Brent,28,51.57593874,-0.32450644,516202,187671,1,2 Passenger,1 Male,0-4,3,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,6 Bus Or Coach
1200237329,Lambeth,9,51.48675174,-0.11700789,530835,178103,3,2 Passenger,'-1 Unknown,0-4,4,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200237337,Kingston-Upon-Thames,23,51.38953098,-0.30618583,517951,166971,2,3 Pedestrian,2 Female,0-4,4,1,2 Serious,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian
1200237355,Westminster,1,51.53353885,-0.17203069,526885,183209,1,3 Pedestrian,1 Male,0-4,0,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian
1200237441,Croydon,20,51.40070117,-0.08050446,533620,168600,3,2 Passenger,2 Female,0-4,3,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200237671,Bromley,19,51.42167325,0.04853063,542530,171175,2,2 Passenger,1 Male,0-4,2,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,9 Private Hire
1200238555,Barking & Dagenham,16,51.54391592,0.09522153,545387,184860,3,3 Pedestrian,1 Male,0-4,2,1,3 Slight,01 Crossing Road On Ped Xing,2 From Drivers N/Side Msk,1 Pedestrian
1200238683,Wandsworth,10,51.46955217,-0.15569891,528197,176122,1,3 Pedestrian,1 Male,0-4,3,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian
1200239024,Tower Hamlets,5,51.5219388,-0.06445457,534380,182111,3,3 Pedestrian,1 Male,0-4,4,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian
1200239302,Newham,17,51.51592773,0.0205449,540295,181602,1,3 Pedestrian,2 Female,0-4,3,1,3 Slight,10 Unknown Or Other,9 Unknown Or Other,1 Pedestrian
1200239560,Redbridge,14,51.56308017,0.11471458,546677,187030,1,2 Passenger,2 Female,0-4,3,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200240001,Sutton,21,51.35770065,-0.14433755,529301,163704,1,3 Pedestrian,1 Male,0-4,4,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian
1200240047,Wandsworth,10,51.44792461,-0.19909769,525242,173642,2,3 Pedestrian,2 Female,0-4,0,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian
1200240823,Merton,22,51.43069223,-0.1925245,525746,171737,1,2 Passenger,1 Male,0-4,1,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,6 Bus Or Coach
1200241032,Brent,28,51.58144296,-0.26267146,520472,188383,2,3 Pedestrian,2 Female,0-4,1,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian
1200241116,Barnet,30,51.60464629,-0.18907542,525507,191087,2,3 Pedestrian,1 Male,0-4,4,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian
1200241273,Greenwich,6,51.47467473,0.03526568,541444,177043,1,3 Pedestrian,1 Male,0-4,2,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian
1200241394,Greenwich,6,51.48670986,0.10237871,546066,178513,1,3 Pedestrian,1 Male,0-4,4,1,3 Slight,09 In Road - Not Crossing,5 In Rd Not Crossing,1 Pedestrian
1200241469,Croydon,20,51.32918321,-0.12675625,530606,160564,1,3 Pedestrian,1 Male,0-4,3,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian
1200241489,Wandsworth,10,51.45624574,-0.22702608,523279,174520,1,2 Passenger,2 Female,0-4,4,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200241681,Haringey,31,51.60006754,-0.0558365,534747,190815,1,2 Passenger,2 Female,0-4,2,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,6 Bus Or Coach
1200241717,Ealing,27,51.53304241,-0.35098171,514475,182859,1,3 Pedestrian,1 Male,0-4,2,1,3 Slight,10 Unknown Or Other,9 Unknown Or Other,1 Pedestrian
1200242225,Havering,15,51.5803636,0.15728851,549571,189038,2,2 Passenger,2 Female,0-4,4,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200242570,Hammersmith & Fulham,11,51.48530477,-0.20245107,524907,177793,1,3 Pedestrian,1 Male,0-4,3,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian
1200242747,Merton,22,51.41801396,-0.16197307,527905,170380,1,2 Passenger,1 Male,0-4,2,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200243094,Lewisham,7,51.45338689,-0.03475554,536645,174543,1,3 Pedestrian,2 Female,0-4,2,1,2 Serious,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian
1200243211,Hillingdon,26,51.56286884,-0.44506682,507879,186033,1,2 Passenger,2 Female,0-4,0,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200244333,Tower Hamlets,5,51.51144312,-0.02554083,537111,181016,1,1 Driver/Rider,2 Female,0-4,2,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,2 Pedal Cycle
1200244644,Lewisham,7,51.42134357,-0.02128635,537677,171005,1,3 Pedestrian,1 Male,0-4,2,1,2 Serious,10 Unknown Or Other,9 Unknown Or Other,1 Pedestrian
1200244932,Westminster,1,51.50388408,-0.17107129,527034,179913,1,3 Pedestrian,1 Male,0-4,2,1,3 Slight,10 Unknown Or Other,9 Unknown Or Other,1 Pedestrian
1200245944,Newham,17,51.54913197,0.04320366,541764,185338,2,2 Passenger,'-1 Unknown,0-4,4,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200246011,Waltham Forest,13,51.57221998,-0.01087229,537945,187802,1,3 Pedestrian,2 Female,0-4,4,1,3 Slight,05 Crossing Road (Not On Xing),9 Unknown Or Other,1 Pedestrian
1200246107,Hillingdon,26,51.50481355,-0.46887352,506364,179542,3,2 Passenger,1 Male,0-4,3,1,2 Serious,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200246360,Hackney,4,51.56494287,-0.05856058,534662,186904,1,3 Pedestrian,1 Male,0-4,4,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian
1200246633,Merton,22,51.42194858,-0.17435775,527033,170796,1,2 Passenger,1 Male,0-4,4,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200246633,Merton,22,51.42194858,-0.17435775,527033,170796,2,2 Passenger,2 Female,0-4,3,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200246819,Newham,17,51.54874576,-0.00379036,538507,185205,1,3 Pedestrian,1 Male,0-4,2,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian
1200246894,Enfield,32,51.62899547,-0.06391931,534102,194017,1,3 Pedestrian,2 Female,0-4,3,1,3 Slight,09 In Road - Not Crossing,5 In Rd Not Crossing,1 Pedestrian
1200247133,Sutton,21,51.37580629,-0.24196041,522456,165550,1,3 Pedestrian,1 Male,0-4,4,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian
1200248036,Merton,22,51.40134236,-0.15060792,528742,168546,1,3 Pedestrian,1 Male,0-4,3,1,3 Slight,09 In Road - Not Crossing,5 In Rd Not Crossing,1 Pedestrian
1200248424,Hounslow,25,51.45138186,-0.42086447,509824,173671,1,3 Pedestrian,1 Male,0-4,2,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian
1200249284,Hammersmith & Fulham,11,51.47426692,-0.20043669,525077,176569,1,1 Driver/Rider,1 Male,0-4,2,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,2 Pedal Cycle
1200249767,Lambeth,9,51.47025797,-0.11245988,531198,176277,1,3 Pedestrian,2 Female,0-4,3,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian
1200249880,Croydon,20,51.40891885,-0.12876177,530240,169427,1,2 Passenger,2 Female,0-4,4,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200250413,Barking & Dagenham,16,51.53908978,0.09354344,545286,184320,2,2 Passenger,1 Male,0-4,0,1,2 Serious,'-2 Not Applicable,'-2 Not Applicable,4 Car
